date,new_cases,new_deaths,new_cases_7day_avg,new_deaths_7day_avg
2020-01-01,0.0,0.0,0.0,0.0
2020-01-02,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0
2020-01-04,3.0,0.0,0.75,0.0
2020-01-05,0.0,3.0,0.6,0.6
2020-01-06,3.0,0.0,1.0,0.5
2020-01-07,0.0,0.0,0.8571428571428571,0.42857142857142855
2020-01-08,1.0,0.0,1.0,0.42857142857142855
2020-01-09,0.0,0.0,1.0,0.42857142857142855
2020-01-10,0.0,0.0,1.0,0.42857142857142855
2020-01-11,0.0,0.0,0.5714285714285714,0.42857142857142855
2020-01-12,41.0,1.0,6.428571428571429,0.14285714285714285
2020-01-13,1.0,0.0,6.142857142857143,0.14285714285714285
2020-01-14,5.0,0.0,6.857142857142857,0.14285714285714285
2020-01-15,0.0,0.0,6.714285714285714,0.14285714285714285
2020-01-16,0.0,0.0,6.714285714285714,0.14285714285714285
2020-01-17,4.0,1.0,7.285714285714286,0.2857142857142857
2020-01-18,4.0,0.0,7.857142857142857,0.2857142857142857
2020-01-19,79.0,1.0,13.285714285714286,0.2857142857142857
2020-01-20,78.0,1.0,24.285714285714285,0.42857142857142855
2020-01-21,93.0,2.0,36.857142857142854,0.7142857142857143
2020-01-22,148.0,11.0,58.0,2.2857142857142856
2020-01-23,133.0,1.0,77.0,2.4285714285714284
2020-01-24,271.0,8.0,115.14285714285714,3.4285714285714284
2020-01-25,473.0,16.0,182.14285714285714,5.714285714285714
2020-01-26,705.0,17.0,271.57142857142856,8.0
2020-01-27,790.0,26.0,373.2857142857143,11.571428571428571
2020-01-28,1779.0,49.0,614.1428571428571,18.285714285714285
2020-01-29,1477.0,2.0,804.0,17.0
2020-01-30,1754.0,38.0,1035.5714285714287,22.285714285714285
2020-01-31,2015.0,42.0,1284.7142857142858,27.142857142857142
2020-02-01,2113.0,47.0,1519.0,31.571428571428573
2020-02-02,2621.0,106.0,1792.7142857142858,44.285714285714285
2020-02-03,2836.0,64.0,2085.0,49.714285714285715
2020-02-04,3253.0,67.0,2295.5714285714284,52.285714285714285
2020-02-05,3936.0,72.0,2646.8571428571427,62.285714285714285
