location,peak_date,peak_7day_cases,peak_cases_per_million
Malaysia,2022-03-09,30729.85714285714,905.465
Maldives,2022-01-31,2673.1428571428573,5103.385
Mali,2022-01-13,616.4285714285714,27.283
Malta,2022-01-02,1159.7142857142858,2174.629
Marshall Islands,2022-08-21,1298.0,31207.174
Martinique,2022-03-12,2130.714285714286,5797.673
Mauritania,2022-01-13,1049.857142857143,221.669
Mauritius,2022-02-19,2886.8571428571427,2221.551
Mayotte,2022-01-14,1298.0,3980.215
Mexico,2022-01-20,62299.857142857145,488.611
Micronesia (country),2022-10-06,1144.7142857142858,10025.699
Moldova,2022-02-01,4687.857142857143,1432.285
Monaco,2022-01-21,140.57142857142858,3852.222
Mongolia,2022-01-26,8431.857142857143,2481.145
Montenegro,2022-01-09,2438.714285714286,3888.988
Montserrat,2022-05-14,42.142857142857146,9549.707
Morocco,2021-08-11,9774.285714285714,260.94
Mozambique,2022-01-02,3837.1428571428573,116.385
Myanmar,2021-07-22,5831.285714285715,107.629
Namibia,2021-06-28,1826.7142857142858,711.608
Nauru,2022-07-01,385.2857142857143,30358.972
Nepal,2021-05-12,8962.714285714286,293.402
Netherlands,2022-02-06,89471.71428571429,5094.034
New Caledonia,2022-02-18,1412.7142857142858,4872.117
New Zealand,2022-03-08,20520.428571428572,3957.432
Nicaragua,2020-06-03,95.85714285714286,13.796
Niger,2022-01-14,102.28571428571429,3.903
Nigeria,2021-12-27,1953.4285714285713,8.938
Niue,2023-01-02,34.285714285714285,17564.403
North Korea,2020-01-03,0.0,
North Macedonia,2022-01-30,1697.2857142857142,810.7
Northern Cyprus,2021-01-14,0.0,
Northern Ireland,2020-03-10,0.0,
Northern Mariana Islands,2022-02-11,216.0,4357.123
Norway,2022-02-12,20508.428571428572,3773.869
Oman,2022-02-07,2246.714285714286,490.946
Pakistan,2022-01-31,7198.0,30.523
Palau,2022-02-01,156.14285714285714,8634.31
Palestine,2022-02-05,8668.857142857143,1651.187
Panama,2022-01-22,10697.857142857143,2426.598
Papua New Guinea,2021-10-26,447.2857142857143,44.1
Paraguay,2022-02-02,5896.285714285715,869.563
Peru,2022-01-27,50361.71428571428,1479.07
Philippines,2022-01-18,34897.0,301.984
Pitcairn,2022-07-20,0.5714285714285714,12158.055
Poland,2022-02-02,49073.142857142855,1231.226
Portugal,2022-01-30,57900.857142857145,5637.393
